sexo,u_fam,u_use,modrunk,mo_binge_n,wk_unit_prop,k_unit_sum
1,3,3,10,20,3.33,4
1,4,3,2,20,2.9,4
2,2,2,5,18,1.57,2
2,3,2,9,16,3.36,2
2,4,2,14,16,3.57,4
2,1,1,26,15,3.86,2
2,2,3,6,15,1.86,2
1,3,2,18,15,2.1,5
2,3,5,12,14,1.07,2
2,3,4,14,12,2.43,3
1,3,3,12,12,2.62,1
2,1,1,12,12,4,2
1,3,2,11,12,2.26,2
2,1,1,4,12,2.5,3
2,3,2,10,10,1.57,3
2,3,2,6,10,2.43,2
2,3,3,5,10,3,2
2,3,3,4,10,1.79,2
1,3,1,10,10,0.9,3
2,4,2,12,10,2.32,6
2,2,1,8,10,2.07,3
1,3,3,0,10,1.76,4
1,4,1,10,10,2.62,3
2,3,3,12,9,1.71,2
2,2,3,12,9,2.14,6
2,3,2,4,8,1.14,3
2,4,2,5,8,2.29,4
1,4,2,6,8,1.81,6
1,2,2,8,8,0.67,4
1,4,5,12,8,1.88,4
1,3,1,14,8,0.71,2
2,3,2,8,8,1.07,4
1,4,2,8,8,1.95,4
1,3,2,8,8,0.76,4
2,3,1,7,7,1,0
2,2,2,10,7,2.25,3
1,3,1,3,7,1.86,0
1,5,2,7,7,1.76,3
1,3,2,7,7,0.62,6
1,4,4,1,7,1.33,2
2,4,3,5,6,0.36,2
2,3,2,4,6,1.07,2
2,4,2,6,6,1,5
2,5,2,5,6,1.21,1
1,2,1,5,6,1.24,3
1,4,4,6,6,0.57,5
1,4,2,6,6,1.57,5
2,3,2,6,6,0.64,3
1,3,3,6,6,0.19,0
2,2,1,5,5,0.64,2
2,4,1,6,5,0.86,4
2,2,3,5,5,1.04,1
2,4,3,1,5,1.14,5
2,2,2,5,5,1.71,1
2,4,2,2,5,0.79,3
2,2,4,5,5,1.21,2
2,3,2,2,5,1,1
1,3,3,3,5,0.52,0
2,1,4,3,5,1,4
1,4,3,2,5,0.67,4
2,3,4,2,5,1,3
2,3,3,4,4,1.79,3
2,2,4,2,4,0.36,3
1,5,3,4,4,0.86,4
1,2,2,4,4,0.9,4
2,3,2,3,4,0.07,4
2,4,4,2,4,1.07,3
2,3,3,4,4,0,4
1,2,2,4,4,0.86,2
2,2,2,5,4,0.79,3
2,3,2,4,4,1.21,1
2,2,2,3,4,0.43,1
1,3,2,4,4,0.57,5
2,1,3,3,3,1.07,2
2,1,3,3,3,0.21,2
1,2,2,3,3,0.86,2
2,4,4,3,3,0.68,2
2,4,2,1,3,0.07,2
1,4,4,4,3,0.9,0
1,3,1,4,3,0.62,3
2,2,3,2,2,0.86,2
2,3,2,1,2,0,0
2,3,2,1,2,0.5,2
2,2,2,2,2,0.75,3
2,2,1,4,2,1.21,2
2,3,2,1,2,0.82,4
2,3,3,2,2,0.14,2
1,4,2,0,2,0.83,3
1,2,4,2,2,0.1,2
1,4,2,3,2,0.43,0
1,3,4,1,2,0.1,2
1,2,1,1,2,0.05,1
2,3,3,2,2,1.36,4
1,4,2,4,2,0.05,3
2,3,4,2,2,0.86,3
1,4,4,0,2,0.19,4
2,1,2,3,2,0.39,2
1,2,2,2,2,0.38,1
2,2,4,1,1,0.43,2
2,4,4,0,1,0.36,2
2,1,1,1,1,1,3
2,2,2,3,1,0.57,2
1,3,3,2,1,1.26,4
2,3,2,1,1,0,5
1,2,2,2,1,0.57,2
1,4,4,2,1,0.62,2
2,5,3,0,0,0,3
1,1,1,0,0,0,1
2,4,2,0,0,0.21,2
1,3,3,0,0,0,4
1,3,3,0,0,0.1,5
1,3,2,0,0,0,5
1,3,2,0,0,0.19,4
1,4,2,0,0,0.81,4
2,3,4,0,0,0.07,0
2,3,2,0,0,0.14,4
2,4,2,0,0,0.29,2
2,3,4,3,0,0.71,3
1,3,3,1,0,0.48,0
1,4,2,0,0,0,5
1,1,1,0,0,0,2
2,3,4,0,0,0,3
1,4,2,0,0,0,3
1,3,3,0,0,0,4
1,3,3,3,0,0.29,1